NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
1506,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.02.1.02,Pemberdayaan Potensi Sumber Kesejahteraan Sosial Provinsi,1.06.02.1.02.0004,Peningkatan Kemampuan Potensi Sumber Kesejahteraan Sosial Kelembagaan Masyarakat Kewenangan Provinsi,5.1.02.02.001.00071,Belanja Lembur,4875000,Pendapatan Asli Daerah (PAD)
1507,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.03,Pengelolaan Pendidikan Khusus,1.01.02.1.03.0059,"Koordinasi, Perencanaan, Supervisi Dan Evaluasi Layanan Di Bidang Pendidikan",5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",10600000,Pendapatan Asli Daerah (PAD)
1508,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.03,Rehabilitasi Sosial Dasar Lanjut Usia Terlantar Di Dalam Panti,1.06.04.1.03.0001,Penyediaan Permakanan,5.1.02.04.001.00003,Belanja Perjalanan Dinas Dalam Kota,6000000,Dana Bagi Hasil (DBH)
1509,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0001,UPT Sistem Penyediaan Air Minum (SPAM),1.03.01.1.06,Administrasi Umum Perangkat Daerah,1.03.01.1.06.0004,Penyediaan Bahan Logistik Kantor,5.1.02.01.001.00002,Belanja Bahan-Bahan Kimia,315758000,Dana Bagi Hasil (DBH)
1510,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,1.01.02.1.02.0073,"Bimbingan Teknis, Pelatihan, Dan/Atau Magang/Pkl Untuk Peningkatan Kapasitas Bidang Pendidikan",5.1.02.01.001.00025,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,905750,Pendapatan Asli Daerah (PAD)
1511,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0053,Pengelolaan Dana Bos Sekolah Menengah Atas,5.1.05.08.001.00001,Belanja Hibah Dana BOSP-BOS,4363320000,Dana Alokasi Umum (DAU)
1512,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0001,Cabang Dinas Pendidikan Wilayah I,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00012,Belanja Bahan-Bahan Lainnya,100870000,Dana Bagi Hasil (DBH)
1513,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.02,Administrasi Keuangan Perangkat Daerah,1.04.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00004,Honorarium Tim Pelaksana Kegiatan dan Sekretariat Tim Pelaksana Kegiatan,14000000,Dana Bagi Hasil (DBH)
1514,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.01.1.02,Administrasi Keuangan Perangkat Daerah,1.05.01.1.02.0003,Pelaksanaan Penatausahaan Dan Pengujian/Verifikasi Keuangan Skpd,5.1.02.02.001.00081,Belanja Honorarium Pengadaan Barang/Jasa,8160000,Dana Alokasi Umum (DAU)
1515,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.02,Administrasi Keuangan Perangkat Daerah,1.06.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.006.00001,Belanja Tunjangan Beras PNS,397332229.13,Pendapatan Asli Daerah (PAD)
1516,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.06.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00031,Belanja Jasa Tenaga Keamanan,10080000,Pendapatan Asli Daerah (PAD)
1517,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.06.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00031,Belanja Jasa Tenaga Keamanan,99360000,Dana Bagi Hasil (DBH)
1518,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.02.1.02,"Penyediaan Layanan Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.02.0011,Pengelolaan Pelayanan Kesehatan Penyakit Menular Dan Tidak Menular,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,66706000,Pendapatan Asli Daerah (PAD)
1519,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0001,UPT Panti Sosial Anak,1.06.04.1.02,Rehabilitasi Sosial Dasar Anak Terlantar Di Dalam Panti,1.06.04.1.02.0011,Pemberian Pelayanan Reunifikasi Keluarga,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,1090000,Pendapatan Asli Daerah (PAD)
1520,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.01.01.1.01.0007,Evaluasi Kinerja Perangkat Daerah,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,2200000,Dana Bagi Hasil (DBH)
1521,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.05.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00411,Belanja Pemeliharaan Komputer-Peralatan Komputer-Peralatan Komputer Lainnya,14700000,Dana Bagi Hasil (DBH)
1522,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0060,"Koordinasi, Perencanaan, Supervisi Dan Evaluasi Layanan Di Bidang Pendidikan",5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,5650000,Pendapatan Asli Daerah (PAD)
1523,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.04.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00411,Belanja Pemeliharaan Komputer-Peralatan Komputer-Peralatan Komputer Lainnya,18250000,Pendapatan Asli Daerah (PAD)
1524,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.05.1.01,Urusan Penyelenggaraan Psu Permukiman,1.04.05.1.01.0001,Perencanaan Penyediaan Psu Permukiman,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,667202000,Pajak Kendaraan Bermotor (PKB)
1525,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.06,Administrasi Umum Perangkat Daerah,1.01.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.2.02.05.002.00003,Belanja Modal Alat Pembersih,24531000,Pajak Rokok
1526,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.01.01.1.01.0007,Evaluasi Kinerja Perangkat Daerah,5.1.02.02.001.00029,Belanja Jasa Tenaga Ahli,52000000,Dana Bagi Hasil (DBH)
1527,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0001,UPT Laboratorium dan Pengujian Bahan Provinsi Sulawesi Tengah,1.03.10.1.01,Penyelenggaraan Jalan Provinsi,1.03.10.1.01.0041,"Penyusunan Rencana, Kebijakan, Strategi Dan Teknis Pengembangan Jaringan Jalan Serta Perencanaan Teknis Penyelenggaraan Jalan Dan Jembatan",5.1.02.02.008.00009,Belanja Jasa Konsultansi Perencanaan Rekayasa-Jasa Desain Rekayasa untuk Pekerjaan Teknik Sipil Transportasi,200000000,Dana Alokasi Umum (DAU)
1528,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.03.01.1.08.0002,"Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik",5.1.02.02.001.00063,Belanja Kawat/Faksimili/Internet/TV Berlangganan,85000000,Dana Bagi Hasil (DBH)
1529,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0001,RSUD Undata Provinsi Sulawesi Tengah,1.02.01.1.02,Administrasi Keuangan Perangkat Daerah,1.02.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00090,Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan penata layanan operasional,201600000,Pendapatan Asli Daerah (PAD)
1530,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0003,Cabang Dinas Pendidikan Wilayah III,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0052,Pembinaan Kelembagaan Dan Manajemen Sekolah Menengah Atas,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1575000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
1531,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0004,UPT Laboratorium Kesehatan,1.02.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.02.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00123,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use),23000000,Dana Bagi Hasil (DBH)
1532,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0005,UPT Badan Pelatihan Kesehatan,1.02.01.1.06,Administrasi Umum Perangkat Daerah,1.02.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.1.02.01.001.00036,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,2493240,Dana Bagi Hasil (DBH)
1533,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.04.1.01,Pemindahan Pendidik Dan Tenaga Kependidikan Lintas Kabupaten/Kota Dalam 1 (Satu) Provinsi,1.01.04.1.01.0002,Penataan Pendistribusian Pendidik Dan Tenaga Kependidikan Satuan Pendidikan Menengah Dan Pendidikan Khusus,5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",795600000,Dana Alokasi Umum (DAU)
1534,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0039,Pengadaan Perlengkapan Peserta Didik,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,110600,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
1535,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.05.1.01,Urusan Penyelenggaraan Psu Permukiman,1.04.05.1.01.0009,"Penyediaan Prasarana, Sarana, dan Utilitas Umum di Permukiman",5.1.02.01.001.00039,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,2831445539.79999,Pajak Kendaraan Bermotor (PKB)
1536,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.05.1.01,Urusan Penyelenggaraan Psu Permukiman,1.04.05.1.01.0009,"Penyediaan Prasarana, Sarana, dan Utilitas Umum di Permukiman",5.1.02.01.001.00039,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,41217731409.1,Pajak Rokok
1537,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.05.1.01,Urusan Penyelenggaraan Psu Permukiman,1.04.05.1.01.0009,"Penyediaan Prasarana, Sarana, dan Utilitas Umum di Permukiman",5.1.02.01.001.00039,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,22276684282.84,Dana Bagi Hasil (DBH)
1538,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.05.1.02,Pengelolaan Data Fakir Miskin Cakupan Daerah Provinsi,1.06.05.1.02.0003,Fasilitasi Bantuan Pengembangan Ekonomi Masyarakat,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,9662125,Pendapatan Asli Daerah (PAD)
1539,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0039,Pengadaan Perlengkapan Peserta Didik,5.1.02.01.001.00012,Belanja Bahan-Bahan Lainnya,220605000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
1540,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0007,UPTD Balai Layanan Platform Teknologi Dinas Pendidikan Provinsi Sulawesi Tengah,1.01.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.01.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.2.02.10.002.00004,Belanja Modal Peralatan Jaringan,261500000,Dana Alokasi Umum (DAU)
1541,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.10.1.01,Penyelenggaraan Jalan Provinsi,1.03.10.1.01.0031,Rekonstruksi Jalan,5.2.04.01.001.00002,Belanja Modal Jalan Provinsi,2748776000,DBH Sawit
1542,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.02.1.02,"Penyediaan Layanan Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.02.0011,Pengelolaan Pelayanan Kesehatan Penyakit Menular Dan Tidak Menular,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,0.01,SILPA
1543,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.01.1.02,Administrasi Keuangan Perangkat Daerah,1.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.001.00001,Belanja Gaji Pokok PNS,89817960508.27,Dana Alokasi Umum (DAU)
1544,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.10.1.01,Penyelenggaraan Jalan Provinsi,1.03.10.1.01.0053,Pengawasan Penyelenggaraan Jalan Kewenangan Provinsi,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,99608000,Dana Alokasi Umum (DAU)
1545,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.01.1.06,Administrasi Umum Perangkat Daerah,1.02.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.02.005.00042,Belanja Sewa Asrama,48750000,Dana Alokasi Khusus (DAK)
1546,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.02,Pelayanan Pencegahan Dan Kesiapsiagaan Terhadap Bencana,1.05.03.1.02.0013,Penguatan Kapasitas Kawasan Untuk Pencegahan Dan Kesiapsiagaan Bencana,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,82940000,Dana Alokasi Umum (DAU)
1547,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0003,UPT Pengelolaan Sumber Daya Air Wilayah II,1.03.02.1.01,Pengelolaan Sda Dan Bangunan Pengaman Pantai Pada Wilayah Sungai Lintas Daerah Kabupaten/Kota,1.03.02.1.01.0107,Operasi Dan Pemeliharaan Tanggul Dan Tebing Sungai,5.1.02.03.004.00052,Belanja Pemeliharaan Bangunan Air-Bangunan Pengaman Sungai/Pantai dan Penanggulangan Bencana Alam-Bangunan Pengaman Pengamanan Sungai/Pantai,369000000,Dana Bagi Hasil (DBH)
1548,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0053,Pengelolaan Dana Bos Sekolah Menengah Atas,5.1.02.89.001.00001,Belanja Barang dan Jasa BOSP-BOS Reguler,33736980000,Dana Alokasi Umum (DAU)
1549,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.02,Administrasi Keuangan Perangkat Daerah,1.04.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,198784445.043,Pendapatan Asli Daerah (PAD)
1550,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.02,Administrasi Keuangan Perangkat Daerah,1.04.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.002.00002,Belanja Tunjangan Keluarga PPPK,57711613.077,Dana Bagi Hasil (DBH)
1551,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.03,Rehabilitasi Sosial Dasar Lanjut Usia Terlantar Di Dalam Panti,1.06.04.1.03.0001,Penyediaan Permakanan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,123126000,Dana Alokasi Umum (DAU)
1552,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.03,Rehabilitasi Sosial Dasar Lanjut Usia Terlantar Di Dalam Panti,1.06.04.1.03.0001,Penyediaan Permakanan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,12240000,Pendapatan Asli Daerah (PAD)
1553,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.06,Administrasi Umum Perangkat Daerah,1.06.01.1.06.0003,Penyediaan Peralatan Rumah Tangga,5.1.02.01.001.00030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,11874910,Dana Bagi Hasil (DBH)
1554,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,1.01.02.1.02.0041,"Pembinaan Minat, Bakat Dan Kreativitas Siswa",5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,74235000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
1555,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.10.1.01,Penyelenggaraan Jalan Provinsi,1.03.10.1.01.0053,Pengawasan Penyelenggaraan Jalan Kewenangan Provinsi,5.1.02.02.008.00020,Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Teknik Sipil Transportasi,100000000,DBH Sawit
1556,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0005,UPT Badan Pelatihan Kesehatan,1.02.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.02.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00121,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Pendingin,11025000,Dana Bagi Hasil (DBH)
1557,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.06.1.01,Perlindungan Sosial Korban Bencana Alam Dan Sosial Provinsi,1.06.06.1.01.0001,Penyediaan Permakanan,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,278250,Pendapatan Asli Daerah (PAD)
1558,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.07.1.01,Penyelenggaraan Infrastruktur Pada Permukiman Di Kawasan Strategis Daerah Provinsi,1.03.07.1.01.0041,Pembangunan Sistem Pengelolaan Air Limbah Domestik (SPALD) Terpusat di Kawasan Strategis Provinsi,5.1.02.02.008.00021,Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Teknik Sipil Air,157250000,Dana Bagi Hasil (DBH)
1559,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0003,UPT Panti Sosial Tresna Werdha Madago Tentena,1.06.01.1.06,Administrasi Umum Perangkat Daerah,1.06.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,16160000,Dana Bagi Hasil (DBH)
1560,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.03.01.1.09.0002,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak Dan Perizinan Kendaraan Dinas Operasional Atau Lapangan",5.1.02.03.002.00036,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Penumpang,215100000,Pajak Kendaraan Bermotor (PKB)
1561,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0002,UPT Pengelolaan Sumber Daya Air Wilayah I,1.03.02.1.01,Pengelolaan Sda Dan Bangunan Pengaman Pantai Pada Wilayah Sungai Lintas Daerah Kabupaten/Kota,1.03.02.1.01.0107,Operasi Dan Pemeliharaan Tanggul Dan Tebing Sungai,5.1.02.03.004.00026,Belanja Pemeliharaan Bangunan Air-Bangunan Air Irigasi-Bangunan Pembawa Irigasi,1147210000,Dana Alokasi Umum (DAU)
