NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
2660,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",2.18.01.1.01.0006,Koordinasi Dan Penyusunan Laporan Capaian Kinerja Dan Ikhtisar Realisasi Kinerja Skpd,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5700000,Dana Bagi Hasil (DBH)
2661,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0001,UPT Perlindungan Perempuan dan Anak,2.08.03.1.02,Penyediaan Layanan Rujukan Lanjutan Bagi Perempuan Korban Kekerasan Yang Memerlukan Koordinasi Tingkat Daerah Provinsi Dan Lintas Daerah Kabupaten/Kota,2.08.03.1.02.0008,Layanan Pengaduan atau Penjangkauan bagi Perempuan Korban Kekerasan Tingkat Daerah Provinsi dan Lintas Daerah Kabupaten/Kota,5.1.02.01.001.00036,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,2420000,Pendapatan Asli Daerah (PAD)
2662,2.15.0.00.0.00.01.0000,Dinas Perhubungan Provinsi Sulawesi Tengah,2.15.0.00.0.00.01.0000,Dinas Perhubungan Provinsi Sulawesi Tengah,2.15.02.1.07,Audit Dan Inspeksi Keselamatan Llaj Di Jalan,2.15.02.1.07.0004,"Pelaksanaan Inspeksi, Audit Dan Pemantauan Pemenuhan Persyaratan Penyelenggaraan Kompetensi Pengemudi Kendaraan Bermotor Provinsi",5.1.02.02.001.00037,Belanja Jasa Juri Perlombaan/Pertandingan,2400000,Dana Alokasi Umum (DAU)
2663,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.0.00.0.00.01.0000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Provinsi Sulawesi Tengah,2.18.05.1.01,Pengendalian Pelaksanaan Penanaman Modal Yang Menjadi Kewenangan Daerah Provinsi,2.18.05.1.01.0005,Penyelesaian Permasalahan Dan Hambatan Yang Dihadapi Pelaku Usaha Dalam Merealisasikan Kegiatan Usahanya,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,7938700,Pendapatan Asli Daerah (PAD)
2664,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",2.10.03.1.01,Penetapan Lokasi Pengadaan Tanah Untuk Kepentingan Umum Di Wilayah Provinsi,2.10.03.1.01.0002,Pemberitahuan Rencana Pembangunan Dalam Rangka Penetapan Lokasi Pengadaan Tanah Untuk Kepentingan Umum,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,2000000,Pendapatan Asli Daerah (PAD)
2665,2.22.0.00.0.00.01.0000,Dinas Kebudayaan Daerah Provinsi Sulawesi Tengah,2.22.0.00.0.00.01.0000,Dinas Kebudayaan Daerah Provinsi Sulawesi Tengah,2.22.01.1.02,Administrasi Keuangan Perangkat Daerah,2.22.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.006.00001,Belanja Tunjangan Beras PNS,230693402.61,Pendapatan Asli Daerah (PAD)
2666,2.12.0.00.0.00.01.0000,Dinas Kependudukan dan Pencatatan Sipil Provinsi Sulawesi Tengah,2.12.0.00.0.00.01.0000,Dinas Kependudukan dan Pencatatan Sipil Provinsi Sulawesi Tengah,2.12.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",2.12.01.1.01.0001,Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,18950000,Dana Bagi Hasil (DBH)
2667,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.06.1.02,Penguatan Dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Hidup Anak Kewenangan Provinsi,2.08.06.1.02.0006,"Pengembangan Komunikasi, Informasi Dan Edukasi Pemenuhan Hak Anak",5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,51850000,Pendapatan Asli Daerah (PAD)
2668,2.13.0.00.0.00.01.0000,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,2.13.0.00.0.00.01.0000,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,2.13.05.1.01,Pemberdayaan Lembaga Kemasyarakatan Yang Bergerak Di Bidang Pemberdayaan Desa Dan Lembaga Adat Tingkat Daerah Provinsi Serta Pemberdayaan Masyarakat Hukum Adat Yang Masyarakat Pelakunya Hukum Adat Yang Sama Berada Di Lintas Daerah Kabupaten/Kota,2.13.05.1.01.0009,Fasilitasi Tim Penggerak Pkk Dalam Penyelenggaraan Gerakan Pemberdayaan Masyarakat Dan Kesejahteraan Keluarga,5.1.02.02.001.00004,Honorarium Tim Pelaksana Kegiatan dan Sekretariat Tim Pelaksana Kegiatan,76800000,Pendapatan Asli Daerah (PAD)
2669,2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,2.17.01.1.09.0002,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak Dan Perizinan Kendaraan Dinas Operasional Atau Lapangan",5.1.02.02.001.00067,"Belanja Pembayaran Pajak, Bea, dan Perizinan",26050000,Pajak Kendaraan Bermotor (PKB)
